citation,citation_text,adj,pos_adj,neg_adj
"Berry & Kogan, 2010","It ranks terms by considering their presence and absence in each class (Berry & Kogan, 2010).",[],"(0, [])","(0, [])"
"Bespalov et al., 2011","In summary, although reducing input features is critical to make the ANN training process practical, it does not represent a disadvantage in comparison to SVM, since SVM also bene ts from the feature selection (Abbasi et al., 2011, 2008; Dang et al., 2010; Li et al., 2009), especially in the context of large-scale sentiment classi cation tasks (Bespalov et al., 2011).","['critical', 'ann', 'summary', 'largescale']","(0, [])","(1, ['critical'])"
"Bespalov, Bai, Qi, & Shokoufandeh, 2011","ANN and sentiment classi cation ANN has gured rarely in the literature (Bespalov, Bai, Qi, & Shokoufandeh, 2011; Chen et al., 2011; Claster, Hung, & Shanmuganathan, 2010; Zhu, XU, & shi Wang, 2010), as can be seen in recent surveys on sentiment analysis (Pang & Lee, 2008; Tsytsarau & Palpanas, 2012).",['recent'],"(0, [])","(0, [])"
"Bishop, 2007","In order to accelerate the training process and reduce the risk of over tting, we adopted the early stopping procedure (Bishop, 2007).",['early'],"(0, [])","(0, [])"
Burges (1998),"A detailed discussion covering parameter values and their implications are beyond the scope of our work and can be found in Ben-Hur and Weston (2010), Burges (1998), Hastie et al.","['hastie', 'detailed']","(0, [])","(0, [])"
"Burges, 1998","However, it is important to note that a large set of support vectors can be needed to form the output function, making SVM computationally slow in running time (test phase) and expensive for real-time applications (Burges, 1998; Romero & Toppo, 2007).","['svm', 'realtime', 'large', 'important', 'expensive', 'slow']","(1, ['important'])","(2, ['expensive', 'slow'])"
"Burns et al., 2011","In order to approach realistic conditions of unbalanced data, we vary only the number of negative reviews in a training dataset, since in practice the number of positive reviews is substantially greater than the number of negative reviews (Burns et al., 2011; Glorot, Bordes, & Bengio, 2011).","['positive', 'unbalanced', 'negative', 'greater', 'realistic']","(2, ['positive', 'realistic'])","(1, ['negative'])"
"Burns, Bi, Wang, & Anderson, 2011","Another characteristic of the sentiment classi cation literature is that many methods have been tested only on balanced datasets and there has been little discussion on the effects of learning subjective aspects from unbalanced data, although it is typical of the product domain to have substantially more positive than negative reviews (Burns, Bi, Wang, & Anderson, 2011; Li, Wang, Zhou, & Lee, 2011a).","['typical', 'positive', 'many', 'subjective', 'unbalanced', 'negative', 'little']","(1, ['positive'])","(1, ['negative'])"
"Chang & Lin, 2011","We train the SVM classi er with an usual nonlinear kernel (radial basis function) using LIBSVM software package (Chang & Lin, 2011).","['libsvm', 'usual', 'nonlinear', 'radial']","(0, [])","(0, [])"
"Chen et al., 2011","ANN and sentiment classi cation ANN has gured rarely in the literature (Bespalov, Bai, Qi, & Shokoufandeh, 2011; Chen et al., 2011; Claster, Hung, & Shanmuganathan, 2010; Zhu, XU, & shi Wang, 2010), as can be seen in recent surveys on sentiment analysis (Pang & Lee, 2008; Tsytsarau & Palpanas, 2012).",['recent'],"(0, [])","(0, [])"
"Chen, Liu, & Chiu, 2011","Basically, most of the methods in the literature are composed of two parts: (i) feature selection and (ii) sentiment learning/ classi cation (Abbasi, France, Zhang, & Chen, 2011; Chen, Liu, & Chiu, 2011; Li, Xia, Zong, & Huang, 2009; Pang et al., 2002).",['most'],"(0, [])","(0, [])"
"Claster, Hung, & Shanmuganathan, 2010","ANN and sentiment classi cation ANN has gured rarely in the literature (Bespalov, Bai, Qi, & Shokoufandeh, 2011; Chen et al., 2011; Claster, Hung, & Shanmuganathan, 2010; Zhu, XU, & shi Wang, 2010), as can be seen in recent surveys on sentiment analysis (Pang & Lee, 2008; Tsytsarau & Palpanas, 2012).",['recent'],"(0, [])","(0, [])"
"Dang et al., 2010","The most popular sentiment learning techniques are SVM and NB, and many authors have reported better accuracy by using SVM (Abbasi, 2010; Dang et al., 2010; O Keefe & Koprinska, 2009; Pang et al., 2002; Prabowo & Thelwall, 2009; Ye, Zhang, & Law, 2009). Usual feature selection methods are document frequency (Bai, 2011; Dang et al., 2010; Pang et al., 2002), mutual information (Li et al., 2009; Turney, 2002), information gain (Abbasi et al., 2011, 2008; Li et al., 2009; Riloff, Patwardhan, & Wiebe, 2006) and chi-square (Abbasi et al., 2011; Li et al., 2009). In summary, although reducing input features is critical to make the ANN training process practical, it does not represent a disadvantage in comparison to SVM, since SVM also bene ts from the feature selection (Abbasi et al., 2011, 2008; Dang et al., 2010; Li et al., 2009), especially in the context of large-scale sentiment classi cation tasks (Bespalov et al., 2011).","['critical', 'many', 'popular', 'ann', 'usual', 'largescale', 'mutual', 'chisquare', 'svm', 'turney', 'document']","(1, ['popular'])","(1, ['critical'])"
"Dang, Zhang, and Chen (2010)","Dang, Zhang, and Chen (2010) also used various categories of features, which were re ned by applying the Information Gain (IG) technique (Yang & Pedersen, 1997).",['various'],"(0, [])","(0, [])"
"Fodslette & Mnller, 1993","Although the scaled conjugate gradient method (Fodslette & Mnller, 1993) focus on accelerating the process of convergence, the reported results showed that the method failed to converge less often than traditional conjugate gradient or back-propagation using gradient descent. Instead of adopting the traditional gradient descent method, we use the scaled conjugated gradient to speed up the convergence to a solution (Fodslette & Mnller, 1993), as implemented in the Matlab software.","['conjugate', 'scaled', 'gradient', 'traditional']","(0, [])","(0, [])"
"Forman, 2003","None of them has been widely accepted as the best feature selection method for sentiment classi cation or text categorization, however, information gain has often been competitive (Abbasi et al., 2011; Forman, 2003; Li et al., 2009; Xia & Zong, 2010; Yang & Pedersen, 1997).","['competitive', 'forman', 'best']","(2, ['competitive', 'best'])","(0, [])"
"Gabrilovich & Markovitch, 2004","On text categorization, some authors (Gabrilovich & Markovitch, 2004; Taira & Haruno, 1999) have recommended a SVM training process with all available features.","['available', 'svm']","(1, ['available'])","(0, [])"
"Glorot, Bordes, & Bengio, 2011","In order to approach realistic conditions of unbalanced data, we vary only the number of negative reviews in a training dataset, since in practice the number of positive reviews is substantially greater than the number of negative reviews (Burns et al., 2011; Glorot, Bordes, & Bengio, 2011).","['positive', 'unbalanced', 'negative', 'greater', 'realistic']","(2, ['positive', 'realistic'])","(1, ['negative'])"
"Hastie et al., 2001","Arti cial Neural Networks The central idea of a neural network is to derive features from linear combinations of the input data, and then model the output as a nonlinear function of these features (Hastie et al., 2001). Nodes are arranged in layers and the structure of the most used neural network consists of three layers: an input, a hidden and an output layer of nodes (Hastie et al., 2001). (4) From the SVM point of view M Number of support vectors h fxkgM fkkgM k 1 k 1 Kernel function Support vectors Coef cients found by the convex optimization problem From the ANN point of view Number of nodes in the hidden layer Activation function Hidden layer weights Output layer weights methods, which may not converge to the optimal/global solution (Hastie et al., 2001; Haykin, 1998).","['optimalglobal', 'fxkgm', 'nonlinear', 'used', 'ann', 'central', 'arti', 'svm', 'hidden', 'neural', 'derive', 'linear', 'cial']","(0, [])","(0, [])"
"Hastie, Tibshirani, & Friedman, 2001","As a supervised classi cation approach, SVM seeks to maximize the distance to the closest training point from either class in order to achieve better generalization/classication performance on test data (Hastie, Tibshirani, & Friedman, 2001).","['supervised', 'closest', 'better', 'svm']","(1, ['better'])","(0, [])"
"Hatzivassiloglou & McKeown, 1997","Nowadays, many people make their opinions available on the internet and researchers have been proposing methods to automate the task of classifying these textual reviews/opinions as positive or negative (Hatzivassiloglou & McKeown, 1997; Pang, Lee, & Vaithyanathan, 2002; Pang & Lee, 2008; Turney, 2002).","['positive', 'many', 'textual', 'negative', 'available']","(2, ['positive', 'available'])","(1, ['negative'])"
"Haykin, 1998","It makes possible to determine a nonlinear decision boundary, which is linear in the higher-dimensional feature space, without computing the parameters of the optimal hyperplane in a feature space of possibly high dimensionality (Haykin, 1998). Each connection has an associated weight, whose value is estimated by minimizing a global error function in a gradient descent training process (Haykin, 1998). Fundamental comparison between SVM and ANN Formally, SVM and feed-forward neural networks are structurally similar, since both of them induce an output function which is expressed as a linear combination of simple functions (Romero & Toppo, 2007): f x b M X kkh xk; x : k 1 4 The bias term b is common for both SVM and ANN (Haykin, 1998) and Table 1 explains the meaning of the remaining terms from both SVM and ANN points of view. Although the de nition of an appropriate number M of hidden nodes in designing of a neural network is not a trivial task, the model complexity is usually controlled by keeping the number of hidden nodes small (Haykin, 1998). (4) From the SVM point of view M Number of support vectors h fxkgM fkkgM k 1 k 1 Kernel function Support vectors Coef cients found by the convex optimization problem From the ANN point of view Number of nodes in the hidden layer Activation function Hidden layer weights Output layer weights methods, which may not converge to the optimal/global solution (Hastie et al., 2001; Haykin, 1998).","['nonlinear', 'high', 'possible', 'table', 'common', 'feedforward', 'bias', 'higherdimensional', 'svm', 'small', 'fxkgm', 'trivial', 'gradient', 'similar', 'hidden', 'linear', 'simple', 'optimalglobal', 'feature', 'appropriate', 'global', 'ann', 'optimal', 'neural', 'fundamental']","(2, ['appropriate', 'optimal'])","(2, ['bias', 'trivial'])"
"He et al., 2011","Second, the maximum entropy (ME) classi cation method (He et al., 2011) has shown promising results in sentiment analysis and therefore we intend to involve ME in our comparative study.","['comparative', 'promising', 'sentiment', 'maximum']","(1, ['promising'])","(0, [])"
"Huang, Kecman, & Kopriva, 2006","Usually, this transformation is achieved by using a kernel function h (Huang, Kecman, & Kopriva, 2006).",[],"(0, [])","(0, [])"
"Joachims, 1998","Our results indicated that IG (i) makes the ANN training practical in a bag-of-words approach and (ii) contribute to reduce the running time of SVM, although the complexity of the SVM solution does not necessarily depend on the number of features (Joachims, 1998; Suykens, Vandewalle, & Moor, 2001).","['running', 'ann', 'practical', 'svm', 'bagofwords']","(0, [])","(0, [])"
"Keefe & Koprinska, 2009","The most popular sentiment learning techniques are SVM and NB, and many authors have reported better accuracy by using SVM (Abbasi, 2010; Dang et al., 2010; O Keefe & Koprinska, 2009; Pang et al., 2002; Prabowo & Thelwall, 2009; Ye, Zhang, & Law, 2009).","['popular', 'many', 'svm']","(1, ['popular'])","(0, [])"
Keefe and Koprinska (2009),O Keefe and Koprinska (2009) also evaluated feature selection techniques as well as feature weighting methods.,['feature'],"(0, [])","(0, [])"
"Kok, & Brazdil, 2007","Thus, although Cristianini and Shawe-Taylor (2000) mentioned that in practice SVM frequently results in very few support vectors, our results are consistent with previous results on text categorization (Colas, Pacl k, Kok, & Brazdil, 2007) in reporting a high number of support vectors.","['high', 'consistent', 'previous', 'text', 'few']","(1, ['consistent'])","(0, [])"
"Li et al., 2009","The number of times a term occurs in a document (i.e., term frequency) is also used as a weighting scheme for textual data (Li et al., 2009; Paltoglou & Thelwall, 2010). Usual feature selection methods are document frequency (Bai, 2011; Dang et al., 2010; Pang et al., 2002), mutual information (Li et al., 2009; Turney, 2002), information gain (Abbasi et al., 2011, 2008; Li et al., 2009; Riloff, Patwardhan, & Wiebe, 2006) and chi-square (Abbasi et al., 2011; Li et al., 2009). None of them has been widely accepted as the best feature selection method for sentiment classi cation or text categorization, however, information gain has often been competitive (Abbasi et al., 2011; Forman, 2003; Li et al., 2009; Xia & Zong, 2010; Yang & Pedersen, 1997). In summary, although reducing input features is critical to make the ANN training process practical, it does not represent a disadvantage in comparison to SVM, since SVM also bene ts from the feature selection (Abbasi et al., 2011, 2008; Dang et al., 2010; Li et al., 2009), especially in the context of large-scale sentiment classi cation tasks (Bespalov et al., 2011).","['forman', 'critical', 'largescale', 'ann', 'usual', 'mutual', 'textual', 'chisquare', 'best', 'turney', 'competitive', 'document']","(2, ['best', 'competitive'])","(1, ['critical'])"
"Li, Wang, Zhou, & Lee, 2011","Another characteristic of the sentiment classi cation literature is that many methods have been tested only on balanced datasets and there has been little discussion on the effects of learning subjective aspects from unbalanced data, although it is typical of the product domain to have substantially more positive than negative reviews (Burns, Bi, Wang, & Anderson, 2011; Li, Wang, Zhou, & Lee, 2011a).","['typical', 'positive', 'many', 'subjective', 'unbalanced', 'negative', 'little']","(1, ['positive'])","(1, ['negative'])"
"Li, Xia, Zong, & Huang, 2009","Basically, most of the methods in the literature are composed of two parts: (i) feature selection and (ii) sentiment learning/ classi cation (Abbasi, France, Zhang, & Chen, 2011; Chen, Liu, & Chiu, 2011; Li, Xia, Zong, & Huang, 2009; Pang et al., 2002).",['most'],"(0, [])","(0, [])"
"Lin & He, 2009","Document-level sentiment classi cation Although some approaches have proposed using unsupervised/ semi-supervised learning methods (Lin & He, 2009; Turney, 2002), most of the work has focused on supervised learning techniques.","['documentlevel', 'supervised', 'unsupervised', 'semisupervised', 'most']","(0, [])","(0, [])"
"Liu, 2011","In this paper, we compare popular machine learning approaches (SVM and NB) with an ANN-based method in the context of document-level sentiment classi cation (Liu, 2011). Many researchers have reported that SVM is perhaps the most accurate method for text classi cation (Liu, 2011).","['accurate', 'many', 'documentlevel', 'popular', 'annbased', 'text']","(2, ['accurate', 'popular'])","(0, [])"
"Lovins, 1968","Popular stemmer algorithms for the english language are Snowball (Porter, 2001), Porter (Porter, 1980) and Lovins (Lovins, 1968).","['popular', 'snowball', 'english', 'porter']","(1, ['popular'])","(0, [])"
"Manning et al., 2008","The classic TF-IDFt,d (Manning et al., 2008) assigns to term t a weight in document d as TF (cid:2) IDFt;d TFt;d (cid:3) IDFt; where IDFt log N DFt : 1 TFt,d is the number of occurrences of term t in document d, N is the number of documents in the collection and DFt is the number of documents in the collection that contain term t. Essentially, TFIDF avoids assigning high scores to terms that occur too often in the dataset.","['classic', 'tfidf', 'tfidftd', 'high']","(1, ['classic'])","(0, [])"
"Manning, Raghavan, & Schtze, 2008","We are primarily interested in investigating the potential of an ANN-based approach for document-level sentiment classi cation and therefore we adopted classic supervised methods for feature selection and weighting in a traditional bag-of-words model (Manning, Raghavan, & Schtze, 2008).","['classic', 'documentlevel', 'interested', 'supervised', 'annbased', 'traditional']","(1, ['classic'])","(0, [])"
"Paltoglou & Thelwall, 2010","The number of times a term occurs in a document (i.e., term frequency) is also used as a weighting scheme for textual data (Li et al., 2009; Paltoglou & Thelwall, 2010).",['textual'],"(0, [])","(0, [])"
"Pang & Lee, 2004","In comparison with the sentiment classi cation literature, the main contributions of our work are: (i) a comparison of a dominant and a computationally ef cient approach (SVM and NB, respectively) with an ANN-based approach under the same context; (ii) a comparison involving realistic contexts in which the ratio of positive and negative reviews is unbalanced; (iii) a performance evaluation of ANN on a full version of the benchmark dataset of Movies reviews (Pang & Lee, 2004). Some datasets are available and have been used by many researchers in order to compare results, and the dataset of movie reviews (Pang & Lee, 2004) is the most popular benchmark dataset in the literature.1 Since the focus of our study is on the overall opinion (positive or negative) expressed in a review, we have oriented our literature review towards document-level sentiment classi cation, which assumes that a review document expresses opinions on a single product or service and was written by a single reviewer/customer. Datasets We conducted experiments on four datasets, which are the benchmark Movies review dataset (Pang & Lee, 2004) and collections of reviews extracted from amazon.com in distinct product domains: GPS, Books and Cameras. Regarding the sentiment learning literature, our main ndings/contributions are in the following points: (cid:4) In terms of classi cation accuracy on the benchmark dataset of Movies reviews (Pang & Lee, 2004), ANN outperformed signi cantly (statistically) SVM, specially in the context of unbalanced data.","['many', 'single', 'annbased', 'literature', 'realistic', 'overall', 'popular', 'following', 'distinct', 'positive', 'main', 'unbalanced', 'negative', 'available', 'documentlevel', 'signi', 'dominant', 'same', 'full']","(4, ['realistic', 'popular', 'positive', 'available'])","(1, ['negative'])"
"Pang & Lee, 2008","Nowadays, many people make their opinions available on the internet and researchers have been proposing methods to automate the task of classifying these textual reviews/opinions as positive or negative (Hatzivassiloglou & McKeown, 1997; Pang, Lee, & Vaithyanathan, 2002; Pang & Lee, 2008; Turney, 2002). ANN and sentiment classi cation ANN has gured rarely in the literature (Bespalov, Bai, Qi, & Shokoufandeh, 2011; Chen et al., 2011; Claster, Hung, & Shanmuganathan, 2010; Zhu, XU, & shi Wang, 2010), as can be seen in recent surveys on sentiment analysis (Pang & Lee, 2008; Tsytsarau & Palpanas, 2012).","['positive', 'many', 'textual', 'negative', 'recent', 'available']","(2, ['positive', 'available'])","(1, ['negative'])"
"Pang et al., 2002","Basically, most of the methods in the literature are composed of two parts: (i) feature selection and (ii) sentiment learning/ classi cation (Abbasi, France, Zhang, & Chen, 2011; Chen, Liu, & Chiu, 2011; Li, Xia, Zong, & Huang, 2009; Pang et al., 2002). The most popular sentiment learning techniques are SVM and NB, and many authors have reported better accuracy by using SVM (Abbasi, 2010; Dang et al., 2010; O Keefe & Koprinska, 2009; Pang et al., 2002; Prabowo & Thelwall, 2009; Ye, Zhang, & Law, 2009). Usual feature selection methods are document frequency (Bai, 2011; Dang et al., 2010; Pang et al., 2002), mutual information (Li et al., 2009; Turney, 2002), information gain (Abbasi et al., 2011, 2008; Li et al., 2009; Riloff, Patwardhan, & Wiebe, 2006) and chi-square (Abbasi et al., 2011; Li et al., 2009). Despite the low computational cost of the Na ve Bayes technique, it has not been competitive in terms of classi cation accuracy when compared to SVM (Abbasi et al., 2008; Pang et al., 2002) and therefore we only analyze the NB method comparatively in the context of our experimental results.","['computational', 'experimental', 'many', 'popular', 'usual', 'mutual', 'chisquare', 'svm', 'low', 'turney', 'most', 'competitive', 'document']","(2, ['popular', 'competitive'])","(0, [])"
"Pang, Lee, & Vaithyanathan, 2002","Nowadays, many people make their opinions available on the internet and researchers have been proposing methods to automate the task of classifying these textual reviews/opinions as positive or negative (Hatzivassiloglou & McKeown, 1997; Pang, Lee, & Vaithyanathan, 2002; Pang & Lee, 2008; Turney, 2002).","['positive', 'many', 'textual', 'negative', 'available']","(2, ['positive', 'available'])","(1, ['negative'])"
"Porter, 1980","Popular stemmer algorithms for the english language are Snowball (Porter, 2001), Porter (Porter, 1980) and Lovins (Lovins, 1968).","['popular', 'snowball', 'english', 'porter']","(1, ['popular'])","(0, [])"
"Porter, 2001","Popular stemmer algorithms for the english language are Snowball (Porter, 2001), Porter (Porter, 1980) and Lovins (Lovins, 1968). The preprocessing of the datasets consisted of removing stopwords and stemming by applying the Snowball stemmer (Porter, 2001), resulting in the vocabulary sizes described in Table 2.","['table', 'popular', 'english', 'vocabulary', 'snowball', 'porter']","(1, ['popular'])","(0, [])"
"Prabowo & Thelwall, 2009","The most popular sentiment learning techniques are SVM and NB, and many authors have reported better accuracy by using SVM (Abbasi, 2010; Dang et al., 2010; O Keefe & Koprinska, 2009; Pang et al., 2002; Prabowo & Thelwall, 2009; Ye, Zhang, & Law, 2009).","['popular', 'many', 'svm']","(1, ['popular'])","(0, [])"
"Recently, He, Lin, and Alani (2011)","Recently, He, Lin, and Alani (2011) proposed to detect sentiment and topic simultaneously from text and show that a state-of-the-art performance can be achieved by augmenting features with polarity word labels.","['stateoftheart', 'alani']","(0, [])","(0, [])"
"Riloff, Patwardhan, & Wiebe, 2006","Usual feature selection methods are document frequency (Bai, 2011; Dang et al., 2010; Pang et al., 2002), mutual information (Li et al., 2009; Turney, 2002), information gain (Abbasi et al., 2011, 2008; Li et al., 2009; Riloff, Patwardhan, & Wiebe, 2006) and chi-square (Abbasi et al., 2011; Li et al., 2009).","['usual', 'mutual', 'chisquare', 'turney', 'document']","(0, [])","(0, [])"
"Romero & Toppo, 2007","Fundamental comparison between SVM and ANN Formally, SVM and feed-forward neural networks are structurally similar, since both of them induce an output function which is expressed as a linear combination of simple functions (Romero & Toppo, 2007): f x b M X kkh xk; x : k 1 4 The bias term b is common for both SVM and ANN (Haykin, 1998) and Table 1 explains the meaning of the remaining terms from both SVM and ANN points of view. This property does not usually hold for ANN (Romero & Toppo, 2007) and the number M of hidden nodes in a neural network is a free parameter which is usually xed previously. However, it is important to note that a large set of support vectors can be needed to form the output function, making SVM computationally slow in running time (test phase) and expensive for real-time applications (Burges, 1998; Romero & Toppo, 2007).","['free', 'table', 'common', 'slow', 'xed', 'feedforward', 'bias', 'expensive', 'svm', 'realtime', 'similar', 'large', 'important', 'hidden', 'linear', 'simple', 'ann', 'neural', 'fundamental']","(2, ['free', 'important'])","(3, ['slow', 'bias', 'expensive'])"
"Russell et al., 2010","First, the neuron computes a weighted sum of its inputs and then applies an activation function to this sum to derive its output (Russell et al., 2010).",['weighted'],"(0, [])","(0, [])"
"Russell, Norvig, & Davis, 2010","The result is one of the most popular and effective forms of learning system (Russell, Norvig, & Davis, 2010).","['popular', 'effective']","(2, ['popular', 'effective'])","(0, [])"
"Suykens, Vandewalle, & Moor, 2001","Our results indicated that IG (i) makes the ANN training practical in a bag-of-words approach and (ii) contribute to reduce the running time of SVM, although the complexity of the SVM solution does not necessarily depend on the number of features (Joachims, 1998; Suykens, Vandewalle, & Moor, 2001).","['running', 'ann', 'practical', 'svm', 'bagofwords']","(0, [])","(0, [])"
"Taira & Haruno, 1999","On text categorization, some authors (Gabrilovich & Markovitch, 2004; Taira & Haruno, 1999) have recommended a SVM training process with all available features.","['available', 'svm']","(1, ['available'])","(0, [])"
"Tang, Tan, & Cheng, 2009","In general, techniques in the literature can be differed in terms of the adopted approach for feature selection, since most of them agree on the learning techniques: Support Vector Machine (SVM) and Na ve Bayes (NB) (Abbasi, Chen, & Salem, 2008; Tang, Tan, & Cheng, 2009; Tsytsarau & Palpanas, 2012).","['techniques', 'adopted', 'most']","(0, [])","(0, [])"
"Tsytsarau & Palpanas, 2012","In general, techniques in the literature can be differed in terms of the adopted approach for feature selection, since most of them agree on the learning techniques: Support Vector Machine (SVM) and Na ve Bayes (NB) (Abbasi, Chen, & Salem, 2008; Tang, Tan, & Cheng, 2009; Tsytsarau & Palpanas, 2012). ANN and sentiment classi cation ANN has gured rarely in the literature (Bespalov, Bai, Qi, & Shokoufandeh, 2011; Chen et al., 2011; Claster, Hung, & Shanmuganathan, 2010; Zhu, XU, & shi Wang, 2010), as can be seen in recent surveys on sentiment analysis (Pang & Lee, 2008; Tsytsarau & Palpanas, 2012). It is also widely used in sentiment classi cation (Tsytsarau & Palpanas, 2012).","['techniques', 'adopted', 'recent', 'most']","(0, [])","(0, [])"
"Turney, 2002","Nowadays, many people make their opinions available on the internet and researchers have been proposing methods to automate the task of classifying these textual reviews/opinions as positive or negative (Hatzivassiloglou & McKeown, 1997; Pang, Lee, & Vaithyanathan, 2002; Pang & Lee, 2008; Turney, 2002). Document-level sentiment classi cation Although some approaches have proposed using unsupervised/ semi-supervised learning methods (Lin & He, 2009; Turney, 2002), most of the work has focused on supervised learning techniques. Usual feature selection methods are document frequency (Bai, 2011; Dang et al., 2010; Pang et al., 2002), mutual information (Li et al., 2009; Turney, 2002), information gain (Abbasi et al., 2011, 2008; Li et al., 2009; Riloff, Patwardhan, & Wiebe, 2006) and chi-square (Abbasi et al., 2011; Li et al., 2009).","['techniques', 'positive', 'many', 'documentlevel', 'supervised', 'unsupervised', 'usual', 'mutual', 'textual', 'chisquare', 'negative', 'semisupervised', 'turney', 'most', 'available', 'document']","(2, ['positive', 'available'])","(1, ['negative'])"
"Van Hulse, Khoshgoftaar, & Napolitano, 2007","In contrast to those approaches that discuss imbalanced sentiment classi cation, we evaluate the performance of ANN as the learning approach and report results in a context in which no previous stages are considered to deal with imbalanced data, like sampling techniques (Van Hulse, Khoshgoftaar, & Napolitano, 2007).","['previous', 'imbalanced']","(0, [])","(0, [])"
"Weiss, Indurkhya, & Zhang, 2004","Pre-processing techniques are often used to remove stopwords, which are common terms like prepositions and articles, and reduce term variations to a single representation by applying stemming procedures (Weiss, Indurkhya, & Zhang, 2004).","['common', 'single']","(0, [])","(0, [])"
"Weiss, Indurkhya, & Zhang, 2010","A high score is assigned to terms that occur frequently in a class (and rarely in the others) as follows (Weiss, Indurkhya, & Zhang, 2010): IG t C X P ck log k 1 1 P ck (cid:2) X P t C X P tjck log t2ftp;tpg k 1 1 P tjck ; 2 where P(ck) is the prior probability of a document occurring in class ck,P(t) is the probability of term t occurring or not in a document, i. e. P(tp) and P tp respectively.","['prior', 'high']","(0, [])","(0, [])"
"Whitelaw, Garg, and Argamon (2005)","Whitelaw, Garg, and Argamon (2005) proposed considering adjectival expressions as an important indication of the sentiment polarity in textual reviews.","['important', 'argamon', 'adjectival', 'textual']","(1, ['important'])","(0, [])"
"Xia & Zong, 2010","None of them has been widely accepted as the best feature selection method for sentiment classi cation or text categorization, however, information gain has often been competitive (Abbasi et al., 2011; Forman, 2003; Li et al., 2009; Xia & Zong, 2010; Yang & Pedersen, 1997).","['competitive', 'forman', 'best']","(2, ['competitive', 'best'])","(0, [])"
"Xia, Zong, & Li, 2011","This ensemble learning approach can be computationally expensive (Xia, Zong, & Li, 2011) and no discussion on this issue is reported by the authors.","['ensemble', 'expensive']","(0, [])","(1, ['expensive'])"
